Day;State_ID;State_Name
0;2;Облачно
1;2;Облачно
2;3;Пасмурно
3;3;Пасмурно
4;3;Пасмурно
5;3;Пасмурно
6;2;Облачно
7;1;Ясно
8;2;Облачно
9;2;Облачно
10;3;Пасмурно
11;1;Ясно
12;3;Пасмурно
13;2;Облачно
14;2;Облачно
15;2;Облачно
16;2;Облачно
17;1;Ясно
18;1;Ясно
19;2;Облачно
20;1;Ясно
21;1;Ясно
22;1;Ясно
23;1;Ясно
24;2;Облачно
25;2;Облачно
26;2;Облачно
27;1;Ясно
28;2;Облачно
29;2;Облачно
30;2;Облачно
31;3;Пасмурно
32;2;Облачно
33;1;Ясно
34;1;Ясно
35;1;Ясно
36;2;Облачно
37;2;Облачно
38;1;Ясно
39;2;Облачно
40;2;Облачно
41;2;Облачно
42;2;Облачно
43;1;Ясно
44;1;Ясно
45;1;Ясно
46;1;Ясно
47;2;Облачно
48;2;Облачно
49;2;Облачно
50;3;Пасмурно
51;1;Ясно
52;1;Ясно
53;2;Облачно
54;2;Облачно
55;2;Облачно
56;2;Облачно
57;3;Пасмурно
58;3;Пасмурно
59;3;Пасмурно
60;3;Пасмурно
61;3;Пасмурно
62;3;Пасмурно
63;1;Ясно
64;3;Пасмурно
65;2;Облачно
66;3;Пасмурно
67;2;Облачно
68;2;Облачно
69;1;Ясно
70;1;Ясно
71;1;Ясно
72;1;Ясно
73;3;Пасмурно
74;3;Пасмурно
75;3;Пасмурно
76;1;Ясно
77;1;Ясно
78;3;Пасмурно
79;3;Пасмурно
80;3;Пасмурно
81;3;Пасмурно
82;3;Пасмурно
83;3;Пасмурно
84;3;Пасмурно
85;2;Облачно
86;2;Облачно
87;2;Облачно
88;2;Облачно
89;2;Облачно
90;2;Облачно
91;1;Ясно
92;1;Ясно
93;1;Ясно
94;1;Ясно
95;1;Ясно
96;1;Ясно
97;1;Ясно
98;1;Ясно
99;1;Ясно
100;2;Облачно
101;1;Ясно
102;3;Пасмурно
103;3;Пасмурно
104;2;Облачно
105;1;Ясно
106;1;Ясно
107;2;Облачно
108;3;Пасмурно
109;3;Пасмурно
110;2;Облачно
111;2;Облачно
112;1;Ясно
113;3;Пасмурно
114;3;Пасмурно
115;1;Ясно
116;1;Ясно
117;1;Ясно
118;1;Ясно
119;1;Ясно
120;2;Облачно
121;1;Ясно
122;3;Пасмурно
123;3;Пасмурно
124;1;Ясно
125;1;Ясно
126;3;Пасмурно
127;3;Пасмурно
128;3;Пасмурно
129;2;Облачно
130;1;Ясно
131;1;Ясно
132;1;Ясно
133;2;Облачно
134;2;Облачно
135;2;Облачно
136;3;Пасмурно
137;3;Пасмурно
138;3;Пасмурно
139;3;Пасмурно
140;1;Ясно
141;1;Ясно
142;1;Ясно
143;2;Облачно
144;3;Пасмурно
145;3;Пасмурно
146;3;Пасмурно
147;3;Пасмурно
148;3;Пасмурно
149;2;Облачно
150;2;Облачно
151;2;Облачно
152;2;Облачно
153;3;Пасмурно
154;3;Пасмурно
155;3;Пасмурно
156;3;Пасмурно
157;3;Пасмурно
158;2;Облачно
159;2;Облачно
160;1;Ясно
161;1;Ясно
162;1;Ясно
163;1;Ясно
164;3;Пасмурно
165;3;Пасмурно
166;2;Облачно
167;2;Облачно
168;2;Облачно
169;3;Пасмурно
170;3;Пасмурно
171;3;Пасмурно
172;3;Пасмурно
173;3;Пасмурно
174;3;Пасмурно
175;2;Облачно
176;2;Облачно
177;2;Облачно
178;2;Облачно
179;3;Пасмурно
180;2;Облачно
181;1;Ясно
182;1;Ясно
183;1;Ясно
184;1;Ясно
185;1;Ясно
186;1;Ясно
187;1;Ясно
188;1;Ясно
189;1;Ясно
190;1;Ясно
191;1;Ясно
192;1;Ясно
193;1;Ясно
194;3;Пасмурно
195;3;Пасмурно
196;3;Пасмурно
197;3;Пасмурно
198;3;Пасмурно
199;3;Пасмурно
200;2;Облачно
201;2;Облачно
202;3;Пасмурно
203;1;Ясно
204;1;Ясно
205;1;Ясно
206;2;Облачно
207;1;Ясно
208;1;Ясно
209;2;Облачно
210;2;Облачно
211;1;Ясно
212;1;Ясно
213;1;Ясно
214;1;Ясно
215;1;Ясно
216;1;Ясно
217;1;Ясно
218;2;Облачно
219;2;Облачно
220;2;Облачно
221;2;Облачно
222;2;Облачно
223;1;Ясно
224;1;Ясно
225;1;Ясно
226;1;Ясно
227;1;Ясно
228;1;Ясно
229;1;Ясно
230;1;Ясно
231;2;Облачно
232;1;Ясно
233;1;Ясно
234;1;Ясно
235;2;Облачно
236;2;Облачно
237;2;Облачно
238;2;Облачно
239;2;Облачно
240;2;Облачно
241;2;Облачно
242;2;Облачно
243;3;Пасмурно
244;1;Ясно
245;1;Ясно
246;2;Облачно
247;2;Облачно
248;2;Облачно
249;3;Пасмурно
250;1;Ясно
251;1;Ясно
252;3;Пасмурно
253;3;Пасмурно
254;3;Пасмурно
255;2;Облачно
256;2;Облачно
257;2;Облачно
258;2;Облачно
259;1;Ясно
260;1;Ясно
261;1;Ясно
262;1;Ясно
263;2;Облачно
264;2;Облачно
265;2;Облачно
266;1;Ясно
267;1;Ясно
268;1;Ясно
269;1;Ясно
270;3;Пасмурно
271;3;Пасмурно
272;2;Облачно
273;2;Облачно
274;3;Пасмурно
275;3;Пасмурно
276;2;Облачно
277;1;Ясно
278;1;Ясно
279;2;Облачно
280;2;Облачно
281;2;Облачно
282;3;Пасмурно
283;3;Пасмурно
284;2;Облачно
285;2;Облачно
286;1;Ясно
287;1;Ясно
288;2;Облачно
289;3;Пасмурно
290;3;Пасмурно
291;3;Пасмурно
292;2;Облачно
293;2;Облачно
294;2;Облачно
295;1;Ясно
296;2;Облачно
297;3;Пасмурно
298;3;Пасмурно
299;1;Ясно
300;1;Ясно
301;2;Облачно
302;2;Облачно
303;3;Пасмурно
304;3;Пасмурно
305;3;Пасмурно
306;3;Пасмурно
307;2;Облачно
308;2;Облачно
309;3;Пасмурно
310;2;Облачно
311;1;Ясно
312;2;Облачно
313;1;Ясно
314;2;Облачно
315;2;Облачно
316;3;Пасмурно
317;2;Облачно
318;3;Пасмурно
319;3;Пасмурно
320;3;Пасмурно
321;2;Облачно
322;3;Пасмурно
323;3;Пасмурно
324;3;Пасмурно
325;2;Облачно
326;3;Пасмурно
327;3;Пасмурно
328;2;Облачно
329;2;Облачно
330;1;Ясно
331;1;Ясно
332;1;Ясно
333;2;Облачно
334;3;Пасмурно
335;3;Пасмурно
336;3;Пасмурно
337;3;Пасмурно
338;1;Ясно
339;1;Ясно
340;2;Облачно
341;1;Ясно
342;1;Ясно
343;3;Пасмурно
344;2;Облачно
345;3;Пасмурно
346;2;Облачно
347;2;Облачно
348;2;Облачно
349;2;Облачно
350;2;Облачно
351;2;Облачно
352;2;Облачно
353;2;Облачно
354;2;Облачно
355;2;Облачно
356;2;Облачно
357;2;Облачно
358;2;Облачно
359;2;Облачно
