[00:02:36] INFO: === ЗАПУСК МОДЕЛИРОВАНИЯ СМО M/M/3 ===
[00:02:36] INFO: Параметры: Lambda=5.0, Mu=1.5, Число приборов=3
[00:02:36] INFO: t=0.20 | Заявка #1 поступила.
[00:02:36] INFO: t=0.20 | Заявка #1 направлена на Прибор #1.
[00:02:36] INFO: t=0.22 | Заявка #1 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=0.27 | Заявка #2 поступила.
[00:02:36] INFO: t=0.27 | Заявка #2 направлена на Прибор #1.
[00:02:36] INFO: t=0.44 | Заявка #2 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=0.54 | Заявка #3 поступила.
[00:02:36] INFO: t=0.54 | Заявка #3 направлена на Прибор #1.
[00:02:36] INFO: t=0.98 | Заявка #4 поступила.
[00:02:36] INFO: t=0.98 | Заявка #4 направлена на Прибор #2.
[00:02:36] INFO: t=1.04 | Заявка #4 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=1.09 | Заявка #5 поступила.
[00:02:36] INFO: t=1.09 | Заявка #5 направлена на Прибор #2.
[00:02:36] INFO: t=1.11 | Заявка #5 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=1.14 | Заявка #6 поступила.
[00:02:36] INFO: t=1.14 | Заявка #6 направлена на Прибор #2.
[00:02:36] INFO: t=1.14 | Заявка #7 поступила.
[00:02:36] INFO: t=1.14 | Заявка #7 направлена на Прибор #3.
[00:02:36] INFO: t=1.29 | Заявка #3 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=1.29 | Заявка #7 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=1.35 | Заявка #8 поступила.
[00:02:36] INFO: t=1.35 | Заявка #8 направлена на Прибор #1.
[00:02:36] INFO: t=1.40 | Заявка #9 поступила.
[00:02:36] INFO: t=1.40 | Заявка #9 направлена на Прибор #3.
[00:02:36] INFO: t=1.61 | Заявка #6 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=1.74 | Заявка #10 поступила.
[00:02:36] INFO: t=1.74 | Заявка #10 направлена на Прибор #2.
[00:02:36] INFO: t=1.74 | Заявка #10 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=1.88 | Заявка #8 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=2.00 | Заявка #9 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=2.06 | Заявка #11 поступила.
[00:02:36] INFO: t=2.06 | Заявка #11 направлена на Прибор #1.
[00:02:36] INFO: t=2.15 | Заявка #12 поступила.
[00:02:36] INFO: t=2.15 | Заявка #12 направлена на Прибор #2.
[00:02:36] INFO: t=2.26 | Заявка #12 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=2.78 | Заявка #13 поступила.
[00:02:36] INFO: t=2.78 | Заявка #13 направлена на Прибор #2.
[00:02:36] INFO: t=2.80 | Заявка #14 поступила.
[00:02:36] INFO: t=2.80 | Заявка #14 направлена на Прибор #3.
[00:02:36] INFO: t=2.86 | Заявка #11 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=2.86 | Заявка #14 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=3.05 | Заявка #13 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=3.17 | Заявка #15 поступила.
[00:02:36] INFO: t=3.17 | Заявка #15 направлена на Прибор #1.
[00:02:36] INFO: t=3.50 | Заявка #16 поступила.
[00:02:36] INFO: t=3.50 | Заявка #16 направлена на Прибор #2.
[00:02:36] INFO: t=3.66 | Заявка #17 поступила.
[00:02:36] INFO: t=3.66 | Заявка #17 направлена на Прибор #3.
[00:02:36] INFO: t=3.75 | Заявка #18 поступила.
[00:02:36] WARNING: t=3.75 | ОТКАЗ! Все приборы (3) заняты. Заявка #18 потеряна.
[00:02:36] INFO: t=3.79 | Заявка #15 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=4.10 | Заявка #19 поступила.
[00:02:36] INFO: t=4.10 | Заявка #19 направлена на Прибор #1.
[00:02:36] INFO: t=4.37 | Заявка #16 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=4.50 | Заявка #20 поступила.
[00:02:36] INFO: t=4.50 | Заявка #20 направлена на Прибор #2.
[00:02:36] INFO: t=4.74 | Заявка #21 поступила.
[00:02:36] WARNING: t=4.74 | ОТКАЗ! Все приборы (3) заняты. Заявка #21 потеряна.
[00:02:36] INFO: t=4.75 | Заявка #19 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=4.80 | Заявка #22 поступила.
[00:02:36] INFO: t=4.80 | Заявка #22 направлена на Прибор #1.
[00:02:36] INFO: t=4.81 | Заявка #23 поступила.
[00:02:36] WARNING: t=4.81 | ОТКАЗ! Все приборы (3) заняты. Заявка #23 потеряна.
[00:02:36] INFO: t=4.83 | Заявка #24 поступила.
[00:02:36] WARNING: t=4.83 | ОТКАЗ! Все приборы (3) заняты. Заявка #24 потеряна.
[00:02:36] INFO: t=5.02 | Заявка #22 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=5.04 | Заявка #25 поступила.
[00:02:36] INFO: t=5.04 | Заявка #25 направлена на Прибор #1.
[00:02:36] INFO: t=5.07 | Заявка #20 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=5.13 | Заявка #26 поступила.
[00:02:36] INFO: t=5.13 | Заявка #26 направлена на Прибор #2.
[00:02:36] INFO: t=5.19 | Заявка #27 поступила.
[00:02:36] WARNING: t=5.19 | ОТКАЗ! Все приборы (3) заняты. Заявка #27 потеряна.
[00:02:36] INFO: t=5.28 | Заявка #26 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=5.34 | Заявка #25 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=5.40 | Заявка #28 поступила.
[00:02:36] INFO: t=5.40 | Заявка #28 направлена на Прибор #1.
[00:02:36] INFO: t=5.44 | Заявка #29 поступила.
[00:02:36] INFO: t=5.44 | Заявка #29 направлена на Прибор #2.
[00:02:36] INFO: t=5.47 | Заявка #30 поступила.
[00:02:36] WARNING: t=5.47 | ОТКАЗ! Все приборы (3) заняты. Заявка #30 потеряна.
[00:02:36] INFO: t=6.03 | Заявка #28 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=6.07 | Заявка #17 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=6.31 | Заявка #29 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=6.38 | Заявка #31 поступила.
[00:02:36] INFO: t=6.38 | Заявка #31 направлена на Прибор #1.
[00:02:36] INFO: t=6.55 | Заявка #32 поступила.
[00:02:36] INFO: t=6.55 | Заявка #32 направлена на Прибор #2.
[00:02:36] INFO: t=6.92 | Заявка #33 поступила.
[00:02:36] INFO: t=6.92 | Заявка #33 направлена на Прибор #3.
[00:02:36] INFO: t=6.97 | Заявка #34 поступила.
[00:02:36] WARNING: t=6.97 | ОТКАЗ! Все приборы (3) заняты. Заявка #34 потеряна.
[00:02:36] INFO: t=7.04 | Заявка #35 поступила.
[00:02:36] WARNING: t=7.04 | ОТКАЗ! Все приборы (3) заняты. Заявка #35 потеряна.
[00:02:36] INFO: t=7.07 | Заявка #31 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=7.09 | Заявка #36 поступила.
[00:02:36] INFO: t=7.09 | Заявка #36 направлена на Прибор #1.
[00:02:36] INFO: t=7.32 | Заявка #32 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=7.51 | Заявка #37 поступила.
[00:02:36] INFO: t=7.51 | Заявка #37 направлена на Прибор #2.
[00:02:36] INFO: t=7.72 | Заявка #38 поступила.
[00:02:36] WARNING: t=7.72 | ОТКАЗ! Все приборы (3) заняты. Заявка #38 потеряна.
[00:02:36] INFO: t=7.76 | Заявка #37 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=7.91 | Заявка #33 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=8.22 | Заявка #39 поступила.
[00:02:36] INFO: t=8.22 | Заявка #39 направлена на Прибор #2.
[00:02:36] INFO: t=8.28 | Заявка #40 поступила.
[00:02:36] INFO: t=8.28 | Заявка #40 направлена на Прибор #3.
[00:02:36] INFO: t=8.44 | Заявка #41 поступила.
[00:02:36] WARNING: t=8.44 | ОТКАЗ! Все приборы (3) заняты. Заявка #41 потеряна.
[00:02:36] INFO: t=8.47 | Заявка #40 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=8.62 | Заявка #42 поступила.
[00:02:36] INFO: t=8.62 | Заявка #42 направлена на Прибор #3.
[00:02:36] INFO: t=8.62 | Заявка #39 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=8.72 | Заявка #43 поступила.
[00:02:36] INFO: t=8.72 | Заявка #43 направлена на Прибор #2.
[00:02:36] INFO: t=8.88 | Заявка #43 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=9.00 | Заявка #36 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=9.92 | Заявка #44 поступила.
[00:02:36] INFO: t=9.92 | Заявка #44 направлена на Прибор #1.
[00:02:36] INFO: t=9.94 | Заявка #45 поступила.
[00:02:36] INFO: t=9.94 | Заявка #45 направлена на Прибор #2.
[00:02:36] INFO: t=9.96 | Заявка #46 поступила.
[00:02:36] WARNING: t=9.96 | ОТКАЗ! Все приборы (3) заняты. Заявка #46 потеряна.
[00:02:36] INFO: t=9.97 | Заявка #45 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=10.14 | Заявка #42 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=10.28 | Заявка #47 поступила.
[00:02:36] INFO: t=10.28 | Заявка #47 направлена на Прибор #2.
[00:02:36] INFO: t=10.29 | Заявка #48 поступила.
[00:02:36] INFO: t=10.29 | Заявка #48 направлена на Прибор #3.
[00:02:36] INFO: t=10.40 | Заявка #44 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=10.61 | Заявка #48 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=10.64 | Заявка #47 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=11.40 | Заявка #49 поступила.
[00:02:36] INFO: t=11.40 | Заявка #49 направлена на Прибор #1.
[00:02:36] INFO: t=11.90 | Заявка #49 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=12.11 | Заявка #50 поступила.
[00:02:36] INFO: t=12.11 | Заявка #50 направлена на Прибор #1.
[00:02:36] INFO: t=12.11 | Заявка #51 поступила.
[00:02:36] INFO: t=12.11 | Заявка #51 направлена на Прибор #2.
[00:02:36] INFO: t=12.34 | Заявка #52 поступила.
[00:02:36] INFO: t=12.34 | Заявка #52 направлена на Прибор #3.
[00:02:36] INFO: t=12.40 | Заявка #53 поступила.
[00:02:36] WARNING: t=12.40 | ОТКАЗ! Все приборы (3) заняты. Заявка #53 потеряна.
[00:02:36] INFO: t=12.43 | Заявка #54 поступила.
[00:02:36] WARNING: t=12.43 | ОТКАЗ! Все приборы (3) заняты. Заявка #54 потеряна.
[00:02:36] INFO: t=12.55 | Заявка #55 поступила.
[00:02:36] WARNING: t=12.55 | ОТКАЗ! Все приборы (3) заняты. Заявка #55 потеряна.
[00:02:36] INFO: t=12.85 | Заявка #52 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=12.96 | Заявка #51 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=12.96 | Заявка #56 поступила.
[00:02:36] INFO: t=12.96 | Заявка #56 направлена на Прибор #2.
[00:02:36] INFO: t=13.10 | Заявка #57 поступила.
[00:02:36] INFO: t=13.10 | Заявка #57 направлена на Прибор #3.
[00:02:36] INFO: t=13.17 | Заявка #56 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=13.23 | Заявка #57 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=13.42 | Заявка #50 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=13.59 | Заявка #58 поступила.
[00:02:36] INFO: t=13.59 | Заявка #58 направлена на Прибор #1.
[00:02:36] INFO: t=13.66 | Заявка #59 поступила.
[00:02:36] INFO: t=13.66 | Заявка #59 направлена на Прибор #2.
[00:02:36] INFO: t=13.85 | Заявка #60 поступила.
[00:02:36] INFO: t=13.85 | Заявка #60 направлена на Прибор #3.
[00:02:36] INFO: t=13.96 | Заявка #60 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=14.14 | Заявка #61 поступила.
[00:02:36] INFO: t=14.14 | Заявка #61 направлена на Прибор #3.
[00:02:36] INFO: t=14.34 | Заявка #59 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=14.44 | Заявка #62 поступила.
[00:02:36] INFO: t=14.44 | Заявка #62 направлена на Прибор #2.
[00:02:36] INFO: t=14.44 | Заявка #63 поступила.
[00:02:36] WARNING: t=14.44 | ОТКАЗ! Все приборы (3) заняты. Заявка #63 потеряна.
[00:02:36] INFO: t=14.44 | Заявка #64 поступила.
[00:02:36] WARNING: t=14.44 | ОТКАЗ! Все приборы (3) заняты. Заявка #64 потеряна.
